id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr
d_wq,N,d_q,x,M,"bsnh,bsm->mnh","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel",1,wq_shard,
d_wk,N,d_k,x,M,"bsnh,bsm->mnh","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel",1,wk_shard,
d_wv,N,d_v,x,M,"bsnh,bsm->mnh","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel",1,wv_shard,
d_x1,N,d_q,wq_2,M,"bsnh,mnh->bsm","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Dmodel, Dmodel/Head, Head/tp",1,,
d_x2,N,d_k,wk_2,M,"bsnh,mnh->bsm","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Dmodel, Dmodel/Head, Head/tp",1,,
d_x3,N,d_v,wv_2,M,"bsnh,mnh->bsm","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Dmodel, Dmodel/Head, Head/tp",1,,
d_x4,N,d_res,,I,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,,
d_x12,N,d_x1,d_x2,A,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,,
d_x34,N,d_x3,d_x4,A,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,,
d_x,N,d_x12,d_x34,A,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,x,
